account_id,account_name,industry,region,segment,billing_country,account_status,is_churned,employee_band,owner_team,workspace_count,active_workspace_count,sandbox_workspace_count,primary_workspace_name,user_count,active_user_count,plan_name,plan_family,billing_cycle,support_tier,contracted_seats,discount_pct,latest_invoice_status,latest_payment_status,latest_invoice_date,latest_payment_date,latest_outstanding_amount_usd,has_past_due_invoice,latest_revenue_month,latest_recurring_revenue_usd,latest_one_time_revenue_usd,latest_total_revenue_usd,latest_collected_revenue_usd,latest_usage_date,latest_daily_active_users,latest_daily_projects_run,latest_daily_api_calls,avg_active_users_7d,avg_active_users_30d,total_projects_run_30d,total_api_calls_30d,peak_storage_gb_30d,lifetime_ticket_count,open_ticket_count,avg_csat_score,avg_first_response_minutes
A1049,Northwind Network,energy,NA,enterprise,CA,active,false,5000+,CSM-East,3,3,0,northwind-core,20,18,Enterprise Annual,enterprise,annual,premium,25,10.0,paid,paid,2025-01-01,2025-01-07,0.0,false,2025-01-01,24300.0,1500.0,25800.0,25800.0,2025-06-30,15,84,5189,0.0,13.066666666666666,2058,127637,71.0,7,1,4.0,202.85714285714286
A1065,Vertex Partners,manufacturing,NA,mid_market,US,active,false,501-1000,CSM-East,2,2,0,vertex-core,11,9,Growth Monthly,growth,monthly,priority,13,0.0,paid,paid,2025-06-01,2025-06-11,0.0,false,2025-06-01,1500.0,0.0,1500.0,1500.0,2025-06-30,7,36,2022,0.0,6.566666666666666,937,57316,25.6,2,0,4.0,266.0
A1088,Cedar Partners,energy,APAC,smb,NZ,active,false,51-200,CSM-APAC,1,1,0,cedar-core,6,5,Starter Monthly,starter,monthly,standard,8,0.0,paid,paid,2025-06-01,2025-06-09,0.0,false,2025-06-01,500.0,0.0,550.0,550.0,2025-06-30,2,11,796,0.0,3.2,388,23706,21.1,2,1,5.0,635.5
A1016,BluePeak Capital,energy,EMEA,enterprise,DE,active,false,1000+,CSM-EMEA,4,4,0,bluepeak-core,19,19,Enterprise Annual,enterprise,annual,premium,24,10.0,paid,paid,2025-01-01,2025-01-12,0.0,false,2025-01-01,24300.0,2000.0,31560.0,31560.0,2025-06-30,13,87,4443,0.0,12.733333333333333,2320,136008,66.4,6,1,4.0,146.83333333333334
A1053,Bright Health,media,NA,mid_market,CA,active,false,501-1000,CSM-East,3,3,0,bright-core,10,9,Growth Monthly,growth,monthly,priority,12,0.0,paid,paid,2025-06-01,2025-06-14,0.0,false,2025-06-01,1500.0,0.0,1500.0,1500.0,2025-06-30,7,45,2733,0.0,6.133333333333334,1076,62016,44.5,3,0,5.0,250.66666666666666
A1081,River Collective,financial_services,NA,mid_market,CA,active,false,201-500,CSM-East,3,3,1,river-core,9,7,Enterprise Monthly,enterprise,monthly,premium,10,0.0,paid,paid,2025-06-01,2025-06-13,0.0,false,2025-06-01,2600.0,0.0,2600.0,2600.0,2025-06-30,5,35,1604,0.0,5.233333333333333,1010,54352,29.7,4,1,4.0,199.25
A1002,Summit Foods,media,NA,mid_market,US,active,false,501-1000,CSM-East,3,3,1,summit-core,12,11,Growth Monthly,growth,monthly,priority,13,0.0,open,,2025-06-01,,1500.0,false,2025-06-01,1500.0,0.0,1500.0,0.0,2025-06-30,8,43,1941,0.0,6.666666666666667,1104,59889,36.3,3,0,4.666666666666667,593.0
A1005,Pacific Labs,manufacturing,EMEA,enterprise,UK,active,false,5000+,CSM-EMEA,3,3,0,pacific-core,15,12,Enterprise Annual,enterprise,annual,premium,17,5.0,paid,paid,2025-01-01,2025-01-14,0.0,false,2025-01-01,25650.0,2000.0,33180.0,33180.0,2025-06-30,11,66,3887,0.0,8.1,1630,93530,60.3,7,1,3.8333333333333335,171.0
A1011,Vertex Energy,software,NA,smb,CA,active,false,51-200,CSM-East,1,1,0,vertex-core,6,6,Growth Monthly,growth,monthly,priority,6,0.0,paid,paid,2025-06-01,2025-06-09,0.0,false,2025-06-01,1500.0,0.0,1500.0,1500.0,2025-06-30,3,14,981,0.0,3.9,437,27390,27.8,3,1,5.0,468.3333333333333
A1052,Sierra Labs,software,APAC,mid_market,NZ,active,false,501-1000,CSM-APAC,2,2,0,sierra-core,10,9,Growth Monthly,growth,monthly,priority,10,5.0,paid,paid,2025-06-01,2025-06-10,0.0,false,2025-06-01,1425.0,0.0,1567.5,1567.5,2025-06-30,8,35,1861,0.0,7.333333333333333,977,56984,36.7,5,1,4.75,268.6
A1062,Delta Manufacturing,travel,EMEA,enterprise,NL,active,false,1000+,CSM-EMEA,3,3,0,delta-core,14,14,Enterprise Monthly,enterprise,monthly,premium,18,0.0,paid,paid,2025-06-01,2025-06-11,0.0,false,2025-06-01,2600.0,0.0,3120.0,3120.0,2025-06-30,8,54,3149,0.0,9.533333333333333,1748,102875,60.9,3,0,4.666666666666667,25.333333333333332
A1008,Pacific Works,software,EMEA,mid_market,UK,active,false,201-500,CSM-EMEA,3,3,0,pacific-core,11,11,Enterprise Monthly,enterprise,monthly,premium,12,5.0,paid,paid,2025-06-01,2025-06-09,0.0,false,2025-06-01,2470.0,0.0,2964.0,2964.0,2025-06-30,8,46,2869,0.0,8.066666666666666,1255,75716,25.8,3,0,3.6666666666666665,440.6666666666667
A1055,Pioneer Systems,travel,EMEA,mid_market,FR,active,false,501-1000,CSM-EMEA,2,2,1,pioneer-core,13,12,Growth Monthly,growth,monthly,priority,13,0.0,past_due,failed,2025-06-01,2025-06-20,1800.0,true,2025-06-01,1500.0,0.0,1800.0,0.0,2025-06-30,5,29,1453,0.0,4.933333333333334,797,38707,33.5,3,0,4.333333333333333,158.0
A1069,Bright Foods,manufacturing,NA,enterprise,CA,active,false,5000+,CSM-East,3,3,0,bright-core,13,11,Enterprise Annual,enterprise,annual,premium,13,10.0,paid,paid,2025-01-01,2025-01-12,0.0,false,2025-01-01,24300.0,0.0,24300.0,24300.0,2025-06-30,10,69,4556,0.0,8.666666666666666,1634,96476,69.2,3,0,4.333333333333333,91.33333333333333
A1078,Beacon Foods,software,EMEA,mid_market,FR,active,false,501-1000,CSM-EMEA,3,3,0,beacon-core,12,10,Growth Monthly,growth,monthly,priority,13,5.0,paid,paid,2025-06-01,2025-06-13,0.0,false,2025-06-01,1425.0,0.0,1710.0,1710.0,2025-06-30,7,43,2894,0.0,6.433333333333334,1081,63211,36.9,4,1,4.0,406.25
A1084,Silver Foods,manufacturing,NA,mid_market,CA,active,false,501-1000,CSM-East,2,2,0,silver-core,11,9,Enterprise Monthly,enterprise,monthly,premium,12,0.0,paid,paid,2025-06-01,2025-06-06,0.0,false,2025-06-01,2600.0,0.0,2600.0,2600.0,2025-06-30,8,41,1914,0.0,6.733333333333333,970,59696,45.6,4,1,3.0,175.75
A1085,Sierra Capital,financial_services,NA,smb,US,active,false,11-50,CSM-East,1,1,0,sierra-core,4,4,Starter Monthly,starter,monthly,standard,5,0.0,paid,paid,2025-06-01,2025-06-13,0.0,false,2025-06-01,500.0,0.0,500.0,500.0,2025-06-30,4,16,993,0.0,2.566666666666667,335,20055,22.4,2,0,4.0,217.5
A1089,Beacon Network,healthcare,NA,mid_market,US,active,false,201-500,CSM-East,2,2,0,beacon-core,12,10,Growth Monthly,growth,monthly,priority,15,0.0,paid,paid,2025-06-01,2025-06-09,0.0,false,2025-06-01,1500.0,0.0,1500.0,1500.0,2025-06-30,9,41,2330,0.0,7.566666666666666,1041,63704,36.8,2,0,5.0,496.0
A1017,Summit Analytics,financial_services,EMEA,mid_market,UK,active,false,201-500,CSM-EMEA,2,2,0,summit-core,9,8,Growth Monthly,growth,monthly,priority,11,10.0,paid,paid,2025-06-01,2025-06-11,0.0,false,2025-06-01,1350.0,0.0,1620.0,1620.0,2025-06-30,7,35,1779,0.0,4.566666666666666,767,44175,35.2,4,0,4.5,203.75
A1023,Atlas Systems,education,NA,smb,CA,active,false,11-50,CSM-East,1,1,0,atlas-core,8,8,Starter Monthly,starter,monthly,standard,10,20.0,past_due,failed,2025-06-01,2025-06-18,400.0,true,2025-06-01,400.0,0.0,400.0,0.0,2025-06-30,6,18,1272,0.0,5.0,532,31779,17.9,3,1,4.5,194.33333333333334
A1044,Summit Holdings,software,EMEA,smb,NL,active,false,11-50,CSM-EMEA,1,1,0,summit-core,5,5,Growth Monthly,growth,monthly,priority,6,0.0,paid,paid,2025-06-01,2025-06-14,0.0,false,2025-06-01,1500.0,0.0,1800.0,1800.0,2025-06-30,2,9,669,0.0,3.3333333333333335,391,24890,16.7,3,0,4.333333333333333,73.0
A1073,Silver Holdings,travel,EMEA,mid_market,DE,active,false,201-500,CSM-EMEA,2,2,0,silver-core,13,10,Enterprise Monthly,enterprise,monthly,premium,13,0.0,paid,paid,2025-06-01,2025-06-10,0.0,false,2025-06-01,2600.0,0.0,3120.0,3120.0,2025-06-30,9,39,1871,0.0,8.133333333333333,1075,63469,22.9,4,1,3.3333333333333335,101.25
A1080,Beacon Global,financial_services,EMEA,mid_market,NL,active,false,201-500,CSM-EMEA,2,2,0,beacon-core,10,10,Growth Monthly,growth,monthly,priority,11,0.0,paid,paid,2025-06-01,2025-06-12,0.0,false,2025-06-01,1500.0,0.0,1800.0,1800.0,2025-06-30,6,33,1980,0.0,7.133333333333334,959,58564,45.2,5,2,4.0,358.8
A1086,River Labs,software,EMEA,smb,FR,active,false,11-50,CSM-EMEA,1,1,0,river-core,5,4,Starter Monthly,starter,monthly,standard,6,0.0,paid,paid,2025-06-01,2025-06-07,0.0,false,2025-06-01,500.0,0.0,600.0,600.0,2025-06-30,3,13,841,0.0,2.5,314,18915,28.2,2,1,3.0,88.5
A1007,Silver Systems,energy,EMEA,smb,FR,active,false,51-200,CSM-EMEA,1,1,0,silver-core,4,3,Starter Monthly,starter,monthly,standard,5,0.0,open,,2025-06-01,,600.0,false,2025-06-01,500.0,0.0,600.0,0.0,2025-06-30,2,10,676,0.0,1.6,242,14726,25.9,3,0,4.666666666666667,420.3333333333333
A1012,Cedar Ventures,retail,APAC,smb,JP,active,false,11-50,CSM-APAC,2,2,1,cedar-core,7,6,Starter Monthly,starter,monthly,standard,8,0.0,paid,failed,2025-06-01,2025-06-15,0.0,false,2025-06-01,500.0,0.0,550.0,550.0,2025-06-30,6,27,1505,0.0,3.8333333333333335,530,29420,26.5,3,0,4.333333333333333,78.0
A1013,River Foods,manufacturing,NA,mid_market,US,active,false,501-1000,CSM-East,3,3,0,river-core,7,5,Growth Monthly,growth,monthly,priority,7,5.0,paid,paid,2025-06-01,2025-06-14,0.0,false,2025-06-01,1425.0,0.0,1425.0,1425.0,2025-06-30,6,40,2273,0.0,4.433333333333334,930,51065,28.6,3,0,5.0,274.0
A1031,Helio Holdings,healthcare,APAC,mid_market,AU,active,false,201-500,CSM-APAC,3,3,0,helio-core,10,10,Growth Monthly,growth,monthly,priority,13,0.0,paid,paid,2025-06-01,2025-06-14,0.0,false,2025-06-01,1500.0,0.0,1650.0,1650.0,2025-06-30,8,46,2999,0.0,6.566666666666666,1115,63242,41.6,4,1,3.0,220.0
A1056,Delta Global,retail,APAC,mid_market,AU,active,false,201-500,CSM-APAC,3,3,0,delta-core,11,10,Growth Monthly,growth,monthly,priority,11,0.0,paid,paid,2025-06-01,2025-06-12,0.0,false,2025-06-01,1500.0,0.0,1650.0,1650.0,2025-06-30,9,50,3199,0.0,6.6,1111,67843,45.1,4,0,3.75,162.5
A1057,Harbor Partners,education,APAC,enterprise,NZ,active,false,1000+,CSM-APAC,4,4,1,harbor-core,13,12,Enterprise Annual,enterprise,annual,premium,13,20.0,paid,paid,2025-01-01,2025-01-09,0.0,false,2025-01-01,21600.0,0.0,23760.0,23760.0,2025-06-30,7,68,3920,0.0,7.533333333333333,1853,101155,57.9,7,2,3.4,207.71428571428572
A1076,Atlas Solutions,financial_services,EMEA,mid_market,UK,active,false,201-500,CSM-EMEA,2,2,0,atlas-core,13,13,Growth Monthly,growth,monthly,priority,16,0.0,paid,paid,2025-06-01,2025-06-11,0.0,false,2025-06-01,1500.0,0.0,1800.0,1800.0,2025-06-30,10,47,2790,0.0,9.333333333333334,1181,72164,43.5,3,1,5.0,169.33333333333334
A1024,Sierra Group,manufacturing,NA,smb,CA,active,false,11-50,CSM-East,2,2,0,sierra-core,4,4,Starter Monthly,starter,monthly,standard,5,0.0,paid,paid,2025-06-01,2025-06-12,0.0,false,2025-06-01,500.0,0.0,500.0,500.0,2025-06-30,3,17,985,0.0,3.2333333333333334,490,28759,20.5,1,0,5.0,129.0
A1035,Bright Retail,retail,EMEA,mid_market,UK,active,false,501-1000,CSM-EMEA,3,3,1,bright-core,13,11,Enterprise Monthly,enterprise,monthly,premium,15,0.0,paid,paid,2025-06-01,2025-06-05,0.0,false,2025-06-01,2600.0,0.0,3120.0,3120.0,2025-06-30,7,42,2322,0.0,6.466666666666667,1115,59544,42.0,5,0,4.4,107.8
A1058,Evergreen Analytics,travel,EMEA,smb,UK,active,false,11-50,CSM-EMEA,2,2,0,evergreen-core,7,5,Starter Monthly,starter,monthly,standard,9,0.0,paid,paid,2025-06-01,2025-06-10,0.0,false,2025-06-01,500.0,0.0,600.0,600.0,2025-06-30,6,26,1225,0.0,4.4,594,36026,25.5,3,0,4.333333333333333,235.33333333333334
A1001,Helio Systems,healthcare,EMEA,mid_market,NL,active,false,201-500,CSM-EMEA,3,3,0,helio-core,9,7,Growth Monthly,growth,monthly,priority,10,0.0,paid,paid,2025-06-01,2025-06-06,0.0,false,2025-06-01,1500.0,0.0,1800.0,1800.0,2025-06-30,4,33,1777,0.0,4.566666666666666,947,54717,32.6,4,0,4.5,243.25
A1028,Apex Energy,energy,APAC,mid_market,SG,active,false,501-1000,CSM-APAC,2,2,1,apex-core,11,10,Enterprise Monthly,enterprise,monthly,premium,14,0.0,open,,2025-06-01,,2834.0,false,2025-06-01,2600.0,0.0,2834.0,0.0,2025-06-30,5,28,1260,0.0,4.866666666666666,792,40215,34.1,3,0,4.666666666666667,685.6666666666666
A1054,Granite Labs,manufacturing,APAC,mid_market,NZ,active,false,201-500,CSM-APAC,3,3,0,granite-core,12,8,Enterprise Monthly,enterprise,monthly,premium,14,5.0,paid,paid,2025-06-01,2025-06-08,0.0,false,2025-06-01,2470.0,0.0,2717.0,2717.0,2025-06-30,9,49,2885,0.0,7.666666666666667,1221,71204,45.6,5,1,3.5,344.6
A1059,Evergreen Partners,education,NA,mid_market,CA,active,false,201-500,CSM-East,2,2,1,evergreen-core,11,10,Enterprise Monthly,enterprise,monthly,premium,11,20.0,paid,paid,2025-06-01,2025-06-05,0.0,false,2025-06-01,2080.0,0.0,2080.0,2080.0,2025-06-30,5,32,1617,0.0,4.466666666666667,749,39880,42.7,5,0,4.6,199.4
A1066,Pacific Capital,manufacturing,APAC,mid_market,NZ,active,false,201-500,CSM-APAC,2,2,0,pacific-core,12,10,Enterprise Monthly,enterprise,monthly,premium,15,0.0,open,,2025-06-01,,2860.0,false,2025-06-01,2600.0,0.0,2860.0,0.0,2025-06-30,6,35,1947,0.0,7.033333333333333,983,58910,41.8,3,0,3.6666666666666665,308.3333333333333
A1067,Maple Energy,healthcare,NA,mid_market,CA,active,false,201-500,CSM-East,2,2,1,maple-core,7,6,Growth Monthly,growth,monthly,priority,8,0.0,paid,paid,2025-06-01,2025-06-11,0.0,false,2025-06-01,1500.0,0.0,1500.0,1500.0,2025-06-30,4,28,1660,0.0,2.933333333333333,641,32283,32.9,5,1,4.25,199.4
A1071,Evergreen Group,education,NA,mid_market,CA,active,false,201-500,CSM-East,3,3,1,evergreen-core,13,12,Enterprise Monthly,enterprise,monthly,premium,16,20.0,open,,2025-06-01,,2080.0,false,2025-06-01,2080.0,0.0,2080.0,0.0,2025-06-30,11,55,2716,0.0,7.0,1161,64088,38.1,2,0,3.5,66.0
A1079,Nova Foods,education,EMEA,enterprise,FR,active,false,1000+,CSM-EMEA,4,4,0,nova-core,20,14,Enterprise Annual,enterprise,annual,premium,22,20.0,paid,paid,2025-01-01,2025-01-13,0.0,false,2025-01-01,21600.0,0.0,25920.0,25920.0,2025-06-30,12,79,5339,0.0,10.866666666666667,2169,127089,68.5,7,0,3.4285714285714284,85.14285714285714
A1006,Helio Works,education,EMEA,mid_market,UK,active,false,201-500,CSM-EMEA,2,2,0,helio-core,7,5,Growth Monthly,growth,monthly,priority,8,20.0,paid,paid,2025-06-01,2025-06-07,0.0,false,2025-06-01,1200.0,0.0,1440.0,1440.0,2025-06-30,3,24,1300,0.0,3.9,700,41229,32.3,3,0,4.0,91.33333333333333
A1025,Bright Capital,education,EMEA,smb,UK,active,false,51-200,CSM-EMEA,1,1,0,bright-core,6,5,Starter Monthly,starter,monthly,standard,8,20.0,paid,paid,2025-06-01,2025-06-09,0.0,false,2025-06-01,400.0,0.0,480.0,480.0,2025-06-30,3,13,669,0.0,3.1,370,23365,27.0,2,0,5.0,83.0
A1038,River Systems,logistics,APAC,smb,AU,active,false,51-200,CSM-APAC,2,2,0,river-core,5,4,Starter Monthly,starter,monthly,standard,6,0.0,paid,paid,2025-06-01,2025-06-12,0.0,false,2025-06-01,500.0,0.0,550.0,550.0,2025-06-30,3,16,1047,0.0,2.8,446,27242,26.1,2,1,4.0,327.5
A1047,Orchid Global,healthcare,APAC,enterprise,AU,active,false,5000+,CSM-APAC,3,3,1,orchid-core,19,19,Enterprise Annual,enterprise,annual,premium,20,5.0,paid,paid,2025-01-01,2025-01-07,0.0,false,2025-01-01,25650.0,0.0,28215.0,28215.0,2025-06-30,14,65,3643,0.0,12.3,1975,108624,70.2,7,1,4.5,154.28571428571428
A1074,Granite Analytics,retail,NA,mid_market,CA,active,false,501-1000,CSM-East,3,3,0,granite-core,12,11,Growth Monthly,growth,monthly,priority,14,10.0,paid,paid,2025-06-01,2025-06-09,0.0,false,2025-06-01,1350.0,0.0,1350.0,1350.0,2025-06-30,8,49,2600,0.0,8.266666666666667,1288,77923,35.1,5,1,3.75,470.8
A1026,Pioneer Capital,education,NA,smb,CA,active,false,11-50,CSM-East,1,1,0,pioneer-core,8,8,Starter Monthly,starter,monthly,standard,9,20.0,paid,paid,2025-06-01,2025-06-13,0.0,false,2025-06-01,400.0,0.0,400.0,400.0,2025-06-30,6,22,1587,0.0,4.7,507,30416,15.5,1,0,5.0,42.0
A1037,Lighthouse Network,media,EMEA,enterprise,UK,active,false,1000+,CSM-EMEA,4,4,2,lighthouse-core,18,15,Enterprise Monthly,enterprise,monthly,premium,22,0.0,paid,paid,2025-06-01,2025-06-14,0.0,false,2025-06-01,2600.0,0.0,3120.0,3120.0,2025-06-30,7,66,3748,0.0,7.766666666666667,1892,93362,66.6,4,1,4.333333333333333,60.0
A1042,Northwind Labs,manufacturing,APAC,mid_market,AU,active,false,501-1000,CSM-APAC,3,3,1,northwind-core,11,10,Growth Monthly,growth,monthly,priority,13,0.0,paid,paid,2025-06-01,2025-06-08,0.0,false,2025-06-01,1500.0,0.0,1650.0,1650.0,2025-06-30,6,37,1967,0.0,6.733333333333333,1136,60586,35.9,5,0,4.2,236.8
A1061,Atlas Capital,travel,EMEA,enterprise,FR,active,false,5000+,CSM-EMEA,3,3,1,atlas-core,17,16,Enterprise Monthly,enterprise,monthly,premium,20,5.0,paid,paid,2025-06-01,2025-06-08,0.0,false,2025-06-01,2470.0,0.0,2964.0,2964.0,2025-06-30,10,66,3571,0.0,8.866666666666667,1687,91764,48.1,4,1,5.0,58.0
A1064,Atlas Health,education,NA,smb,US,active,false,51-200,CSM-East,1,1,0,atlas-core,4,4,Starter Monthly,starter,monthly,standard,5,20.0,paid,paid,2025-06-01,2025-06-13,0.0,false,2025-06-01,400.0,0.0,400.0,400.0,2025-06-30,2,9,421,0.0,2.4,306,18016,27.4,2,0,5.0,699.0
A1010,Orchid Foods,education,NA,smb,CA,active,false,11-50,CSM-East,1,1,0,orchid-core,8,7,Starter Monthly,starter,monthly,standard,10,20.0,paid,paid,2025-06-01,2025-06-07,0.0,false,2025-06-01,400.0,0.0,400.0,400.0,2025-06-30,4,13,595,0.0,4.3,478,29531,28.3,2,0,3.0,36.0
A1033,Lighthouse Global,logistics,NA,mid_market,CA,active,false,201-500,CSM-East,2,2,0,lighthouse-core,12,12,Growth Monthly,growth,monthly,priority,13,0.0,paid,paid,2025-06-01,2025-06-05,0.0,false,2025-06-01,1500.0,0.0,1500.0,1500.0,2025-06-30,11,56,3786,0.0,8.966666666666667,1158,69619,38.4,2,0,4.5,555.0
A1046,Pioneer Solutions,education,NA,smb,CA,active,false,51-200,CSM-East,1,1,0,pioneer-core,5,4,Growth Monthly,growth,monthly,priority,5,20.0,paid,paid,2025-06-01,2025-06-07,0.0,false,2025-06-01,1200.0,0.0,1200.0,1200.0,2025-06-30,3,15,877,0.0,2.533333333333333,349,21104,17.4,3,1,5.0,251.0
A1051,Lighthouse Systems,media,EMEA,smb,UK,active,false,51-200,CSM-EMEA,1,1,0,lighthouse-core,7,4,Growth Monthly,growth,monthly,priority,7,0.0,paid,paid,2025-06-01,2025-06-11,0.0,false,2025-06-01,1500.0,0.0,1800.0,1800.0,2025-06-30,1,7,416,0.0,2.5,327,19800,27.7,3,0,3.6666666666666665,425.0
A1022,Summit Collective,retail,APAC,smb,NZ,active,false,51-200,CSM-APAC,2,2,1,summit-core,5,3,Growth Monthly,growth,monthly,priority,6,0.0,paid,paid,2025-06-01,2025-06-12,0.0,false,2025-06-01,1500.0,0.0,1650.0,1650.0,2025-06-30,3,17,909,0.0,1.9666666666666666,374,17727,18.4,1,0,5.0,140.0
A1068,Helio Health,manufacturing,APAC,enterprise,SG,active,false,1000+,CSM-APAC,4,4,1,helio-core,16,15,Enterprise Monthly,enterprise,monthly,premium,19,0.0,open,,2025-06-01,,2834.0,false,2025-06-01,2600.0,0.0,2834.0,0.0,2025-06-30,10,78,4884,0.0,8.033333333333333,1892,98846,60.8,7,0,4.571428571428571,72.14285714285714
A1083,Falcon Works,education,NA,mid_market,CA,active,false,501-1000,CSM-East,2,2,1,falcon-core,7,5,Growth Monthly,growth,monthly,priority,9,20.0,paid,failed,2025-06-01,2025-06-15,0.0,false,2025-06-01,1200.0,0.0,1200.0,1200.0,2025-06-30,5,31,1797,0.0,2.8,618,30719,35.6,4,0,3.75,284.75
A1030,Northwind Analytics,financial_services,EMEA,enterprise,UK,active,false,5000+,CSM-EMEA,4,4,0,northwind-core,12,11,Enterprise Monthly,enterprise,monthly,premium,14,5.0,paid,paid,2025-06-01,2025-06-14,0.0,false,2025-06-01,2470.0,0.0,2964.0,2964.0,2025-06-30,7,67,3741,0.0,7.466666666666667,1853,112662,48.3,4,0,4.25,214.0
A1039,Nova Group,media,EMEA,smb,FR,active,false,11-50,CSM-EMEA,1,1,0,nova-core,7,7,Starter Monthly,starter,monthly,standard,8,0.0,paid,paid,2025-06-01,2025-06-11,0.0,false,2025-06-01,500.0,0.0,600.0,600.0,2025-06-30,6,20,1351,0.0,4.233333333333333,457,27512,23.0,3,0,5.0,127.0
A1043,Lighthouse Works,financial_services,APAC,enterprise,SG,active,false,1000+,CSM-APAC,4,4,1,lighthouse-core,18,16,Enterprise Monthly,enterprise,monthly,premium,21,0.0,paid,paid,2025-06-01,2025-06-08,0.0,false,2025-06-01,2600.0,0.0,2834.0,2834.0,2025-06-30,12,86,4604,0.0,10.3,2105,114513,54.4,3,1,4.0,313.6666666666667
